region,p
Left-Thalamus,0.1622549722073545
Left-Caudate,0.1987289919160579
Left-Putamen,0.22454581597491216
Left-Hippocampus,0.2789738047202278
Left-Amygdala,0.29489538566923534
Left-Accumbens-area,0.34253339548117306
Right-Thalamus,0.37457813450327626
Right-Caudate,0.41582102291878126
Right-Putamen,0.4275068319768069
Right-Hippocampus,0.5058785668435488
Right-Amygdala,0.5699495253456943
Right-Accumbens-area,0.6044251172190633
Temporal_lobe_left,0.6403116649858425
Frontal_lobe_left,0.6730889631625558
Parietal_lobe_left,0.7067110272665548
Occipital_lobe_left,0.7284392962235893
Cingulate_lobe_left,0.7604689592845434
Insula_left,0.7996171334682495
Temporal_lobe_right,0.8308620301577996
Frontal_lobe_right,0.8343908016723072
Parietal_lobe_right,0.8786846416753348
Occipital_lobe_right,0.8786846416753348
Cingulate_lobe_right,0.9310490358475909
Insula_right,0.9580279992853341
