region,hemi,p
bankssts,left,0.49726720782239525
transverse temporal,left,0.49726720782239525
superior temporal,left,0.49726720782239525
temporal pole,left,0.49726720782239525
entorhinal,left,0.49726720782239525
middle temporal,left,0.49726720782239525
inferior temporal,left,0.49726720782239525
fusiform,left,0.49726720782239525
parahippocampal,left,0.49726720782239525
superior frontal,left,0.5514289601173452
frontal pole,left,0.5514289601173452
caudal middle frontal,left,0.5514289601173452
rostral middle frontal,left,0.5514289601173452
pars opercularis,left,0.5514289601173452
pars orbitalis,left,0.5514289601173452
pars triangularis,left,0.5514289601173452
medial orbitofrontal,left,0.5514289601173452
lateral orbitofrontal,left,0.5514289601173452
precentral,left,0.5514289601173452
paracentral,left,0.5514289601173452
postcentral,left,0.5720189580189387
superior parietal,left,0.5720189580189387
precuneus,left,0.5720189580189387
inferior parietal,left,0.5720189580189387
supramarginal,left,0.5720189580189387
lateral occipital,left,0.7138466898692889
cuneus,left,0.7138466898692889
pericalcarine,left,0.7138466898692889
lingual,left,0.7138466898692889
caudal anterior cingulate,left,0.7360640844085473
rostral anterior cingulate,left,0.7360640844085473
posterior cingulate,left,0.7360640844085473
isthmus cingulate,left,0.7360640844085473
insula,left,0.7745914464285572
bankssts,right,0.7915394341555184
transverse temporal,right,0.7915394341555184
superior temporal,right,0.7915394341555184
temporal pole,right,0.7915394341555184
entorhinal,right,0.7915394341555184
middle temporal,right,0.7915394341555184
inferior temporal,right,0.7915394341555184
fusiform,right,0.7915394341555184
parahippocampal,right,0.7915394341555184
superior frontal,right,0.8483634588155093
frontal pole,right,0.8483634588155093
caudal middle frontal,right,0.8483634588155093
rostral middle frontal,right,0.8483634588155093
pars opercularis,right,0.8483634588155093
pars orbitalis,right,0.8483634588155093
pars triangularis,right,0.8483634588155093
medial orbitofrontal,right,0.8483634588155093
lateral orbitofrontal,right,0.8483634588155093
precentral,right,0.8483634588155093
paracentral,right,0.8483634588155093
postcentral,right,0.8764398627644873
superior parietal,right,0.8764398627644873
precuneus,right,0.8764398627644873
inferior parietal,right,0.8764398627644873
supramarginal,right,0.8764398627644873
lateral occipital,right,0.9087087752589386
cuneus,right,0.9087087752589386
pericalcarine,right,0.9087087752589386
lingual,right,0.9087087752589386
caudal anterior cingulate,right,0.9331738136053818
rostral anterior cingulate,right,0.9331738136053818
posterior cingulate,right,0.9331738136053818
isthmus cingulate,right,0.9331738136053818
insula,right,0.9621939236152893
