region,hemi,p
bankssts,left,0.34483041455500674
transverse temporal,left,0.34483041455500674
superior temporal,left,0.34483041455500674
temporal pole,left,0.34483041455500674
entorhinal,left,0.34483041455500674
middle temporal,left,0.34483041455500674
inferior temporal,left,0.34483041455500674
fusiform,left,0.34483041455500674
parahippocampal,left,0.34483041455500674
superior frontal,left,0.3845259860467138
frontal pole,left,0.3845259860467138
caudal middle frontal,left,0.3845259860467138
rostral middle frontal,left,0.3845259860467138
pars opercularis,left,0.3845259860467138
pars orbitalis,left,0.3845259860467138
pars triangularis,left,0.3845259860467138
medial orbitofrontal,left,0.3845259860467138
lateral orbitofrontal,left,0.3845259860467138
precentral,left,0.3845259860467138
paracentral,left,0.3845259860467138
postcentral,left,0.4604582217190817
superior parietal,left,0.4604582217190817
precuneus,left,0.4604582217190817
inferior parietal,left,0.4604582217190817
supramarginal,left,0.4604582217190817
lateral occipital,left,0.561710717889656
cuneus,left,0.561710717889656
pericalcarine,left,0.561710717889656
lingual,left,0.561710717889656
caudal anterior cingulate,left,0.661355780733845
rostral anterior cingulate,left,0.661355780733845
posterior cingulate,left,0.661355780733845
isthmus cingulate,left,0.661355780733845
insula,left,0.6616291308940154
bankssts,right,0.6755723102528252
transverse temporal,right,0.6755723102528252
superior temporal,right,0.6755723102528252
temporal pole,right,0.6755723102528252
entorhinal,right,0.6755723102528252
middle temporal,right,0.6755723102528252
inferior temporal,right,0.6755723102528252
fusiform,right,0.6755723102528252
parahippocampal,right,0.6755723102528252
superior frontal,right,0.7051514740885776
frontal pole,right,0.7051514740885776
caudal middle frontal,right,0.7051514740885776
rostral middle frontal,right,0.7051514740885776
pars opercularis,right,0.7051514740885776
pars orbitalis,right,0.7051514740885776
pars triangularis,right,0.7051514740885776
medial orbitofrontal,right,0.7051514740885776
lateral orbitofrontal,right,0.7051514740885776
precentral,right,0.7051514740885776
paracentral,right,0.7051514740885776
postcentral,right,0.8491733866099658
superior parietal,right,0.8491733866099658
precuneus,right,0.8491733866099658
inferior parietal,right,0.8491733866099658
supramarginal,right,0.8491733866099658
lateral occipital,right,0.885533122432748
cuneus,right,0.885533122432748
pericalcarine,right,0.885533122432748
lingual,right,0.885533122432748
caudal anterior cingulate,right,0.9301704698697187
rostral anterior cingulate,right,0.9301704698697187
posterior cingulate,right,0.9301704698697187
isthmus cingulate,right,0.9301704698697187
insula,right,0.9493736897102206
