region,p
Left-Thalamus,0.03155287571123375
Left-Caudate,0.04700702331032736
Left-Putamen,0.08611772510845221
Left-Hippocampus,0.10618472710023573
Left-Amygdala,0.15746074041661712
Left-Accumbens-area,0.17457186063388905
Right-Thalamus,0.2293443709572848
Right-Caudate,0.30435377781258527
Right-Putamen,0.30435377781258527
Right-Hippocampus,0.40181773517996394
Right-Amygdala,0.4466703259473409
Right-Accumbens-area,0.47572995484005
Temporal_lobe_left,0.49726720782239525
Frontal_lobe_left,0.5514289601173452
Parietal_lobe_left,0.5720189580189387
Occipital_lobe_left,0.7138466898692889
Cingulate_lobe_left,0.7360640844085473
Insula_left,0.7745914464285572
Temporal_lobe_right,0.7915394341555184
Frontal_lobe_right,0.8483634588155093
Parietal_lobe_right,0.8764398627644873
Occipital_lobe_right,0.9087087752589386
Cingulate_lobe_right,0.9331738136053818
Insula_right,0.9621939236152893
