region,hemi,p
bankssts,left,0.6403116649858425
transverse temporal,left,0.6403116649858425
superior temporal,left,0.6403116649858425
temporal pole,left,0.6403116649858425
entorhinal,left,0.6403116649858425
middle temporal,left,0.6403116649858425
inferior temporal,left,0.6403116649858425
fusiform,left,0.6403116649858425
parahippocampal,left,0.6403116649858425
superior frontal,left,0.6730889631625558
frontal pole,left,0.6730889631625558
caudal middle frontal,left,0.6730889631625558
rostral middle frontal,left,0.6730889631625558
pars opercularis,left,0.6730889631625558
pars orbitalis,left,0.6730889631625558
pars triangularis,left,0.6730889631625558
medial orbitofrontal,left,0.6730889631625558
lateral orbitofrontal,left,0.6730889631625558
precentral,left,0.6730889631625558
paracentral,left,0.6730889631625558
postcentral,left,0.7067110272665548
superior parietal,left,0.7067110272665548
precuneus,left,0.7067110272665548
inferior parietal,left,0.7067110272665548
supramarginal,left,0.7067110272665548
lateral occipital,left,0.7284392962235893
cuneus,left,0.7284392962235893
pericalcarine,left,0.7284392962235893
lingual,left,0.7284392962235893
caudal anterior cingulate,left,0.7604689592845434
rostral anterior cingulate,left,0.7604689592845434
posterior cingulate,left,0.7604689592845434
isthmus cingulate,left,0.7604689592845434
insula,left,0.7996171334682495
bankssts,right,0.8308620301577996
transverse temporal,right,0.8308620301577996
superior temporal,right,0.8308620301577996
temporal pole,right,0.8308620301577996
entorhinal,right,0.8308620301577996
middle temporal,right,0.8308620301577996
inferior temporal,right,0.8308620301577996
fusiform,right,0.8308620301577996
parahippocampal,right,0.8308620301577996
superior frontal,right,0.8343908016723072
frontal pole,right,0.8343908016723072
caudal middle frontal,right,0.8343908016723072
rostral middle frontal,right,0.8343908016723072
pars opercularis,right,0.8343908016723072
pars orbitalis,right,0.8343908016723072
pars triangularis,right,0.8343908016723072
medial orbitofrontal,right,0.8343908016723072
lateral orbitofrontal,right,0.8343908016723072
precentral,right,0.8343908016723072
paracentral,right,0.8343908016723072
postcentral,right,0.8786846416753348
superior parietal,right,0.8786846416753348
precuneus,right,0.8786846416753348
inferior parietal,right,0.8786846416753348
supramarginal,right,0.8786846416753348
lateral occipital,right,0.8786846416753348
cuneus,right,0.8786846416753348
pericalcarine,right,0.8786846416753348
lingual,right,0.8786846416753348
caudal anterior cingulate,right,0.9310490358475909
rostral anterior cingulate,right,0.9310490358475909
posterior cingulate,right,0.9310490358475909
isthmus cingulate,right,0.9310490358475909
insula,right,0.9580279992853341
