region,p
Left-Thalamus,20
Left-Caudate,13
Left-Putamen,14
Left-Hippocampus,19
Left-Amygdala,16
Left-Accumbens-area,12
Right-Thalamus,18
Right-Caudate,22
Right-Putamen,17
Right-Hippocampus,15
Right-Amygdala,23
Right-Accumbens-area,21
Temporal_lobe_left,5
Frontal_lobe_left,3
Parietal_lobe_left,4
Occipital_lobe_left,10
Cingulate_lobe_left,0
Insula_left,6
Temporal_lobe_right,9
Frontal_lobe_right,8
Parietal_lobe_right,11
Occipital_lobe_right,2
Cingulate_lobe_right,1
Insula_right,7
