region,p
Left-Thalamus,3
Left-Caudate,12
Left-Putamen,4
Left-Hippocampus,5
Left-Amygdala,2
Left-Accumbens-area,17
Right-Thalamus,10
Right-Caudate,18
Right-Putamen,0
Right-Hippocampus,9
Right-Amygdala,13
Right-Accumbens-area,16
Temporal_lobe_left,23
Frontal_lobe_left,1
Parietal_lobe_left,11
Occipital_lobe_left,6
Cingulate_lobe_left,14
Insula_left,15
Temporal_lobe_right,8
Frontal_lobe_right,19
Parietal_lobe_right,20
Occipital_lobe_right,22
Cingulate_lobe_right,7
Insula_right,21
