region,p
Left-Thalamus,7
Left-Caudate,1
Left-Putamen,2
Left-Hippocampus,0
Left-Amygdala,8
Left-Accumbens-area,6
Right-Thalamus,5
Right-Caudate,13
Right-Putamen,11
Right-Hippocampus,19
Right-Amygdala,3
Right-Accumbens-area,14
Temporal_lobe_left,9
Frontal_lobe_left,4
Parietal_lobe_left,20
Occipital_lobe_left,12
Cingulate_lobe_left,17
Insula_left,18
Temporal_lobe_right,10
Frontal_lobe_right,23
Parietal_lobe_right,16
Occipital_lobe_right,22
Cingulate_lobe_right,15
Insula_right,21
