region,p
Left-Orbitofrontal_gyri,0.060515408798695776
Left-Gyrus_rectus,0.14214520690488622
Left-Inferior_frontal_gyrus,0.16755250056497806
Left-Superior_frontal_gyrus,0.20050687195115938
Left-Insula,0.24642683534124818
Left-Middle_frontal_gyrus,0.269103917423202
Left-Temporal_lobe,0.2962061584174261
Left-Gyrus_cinguli_posterior_part,0.3559230124370073
Left-Hippocampus,0.3841181192594817
Left-Amygdala,0.4156729473356431
Left-Inferolateral_remainder_of_parietal_lobe,0.47363386779121786
Left-Gyrus_cinguli_anterior_part,0.47363386779121786
Left-Accumbens-area,0.5108891380151003
Left-Thalamus,0.5786286579932114
Left-Superior_parietal_gyrus,0.6209650438522489
Left-Precentral_gyrus,0.6748316745506743
Left-Caudate,0.7122670575952392
Left-Putamen,0.7323796848179384
Left-Lateral_remainder_of_occipital_lobe,0.767847971792538
Left-Parahippocampal_and_ambient_gyri,0.8042116025664449
Left-Postcentral_gyrus,0.9227347963107414
Left-Lingual_gyrus,0.9531742328444556
Right-Orbitofrontal_gyri,0.060515408798695776
Right-Gyrus_rectus,0.14214520690488622
Right-Inferior_frontal_gyrus,0.16755250056497806
Right-Superior_frontal_gyrus,0.20050687195115938
Right-Insula,0.24642683534124818
Right-Middle_frontal_gyrus,0.269103917423202
Right-Temporal_lobe,0.2962061584174261
Right-Gyrus_cinguli_posterior_part,0.3559230124370073
Right-Hippocampus,0.3841181192594817
Right-Amygdala,0.4156729473356431
Right-Inferolateral_remainder_of_parietal_lobe,0.47363386779121786
Right-Gyrus_cinguli_anterior_part,0.47363386779121786
Right-Accumbens-area,0.5108891380151003
Right-Thalamus,0.5786286579932114
Right-Superior_parietal_gyrus,0.6209650438522489
Right-Precentral_gyrus,0.6748316745506743
Right-Caudate,0.7122670575952392
Right-Putamen,0.7323796848179384
Right-Lateral_remainder_of_occipital_lobe,0.767847971792538
Right-Parahippocampal_and_ambient_gyri,0.8042116025664449
Right-Postcentral_gyrus,0.9227347963107414
Right-Lingual_gyrus,0.9531742328444556
