region,p
Left-Superior_parietal_gyrus,0.05625538807053055
Left-Inferolateral_remainder_of_parietal_lobe,0.09082257006564244
Left-Postcentral_gyrus,0.18406343006900597
Left-Lateral_remainder_of_occipital_lobe,0.21327020841683733
Left-Precentral_gyrus,0.2855885464093833
Left-Temporal_lobe,0.29031792999424955
Left-Thalamus,0.3690993780620742
Left-Middle_frontal_gyrus,0.37946712975319746
Left-Putamen,0.4583469128480065
Left-Lingual_gyrus,0.4583469128480065
Left-Amygdala,0.46438007594058617
Left-Gyrus_cinguli_posterior_part,0.5008883953672885
Left-Hippocampus,0.5038505918050014
Left-Accumbens-area,0.5563395903261696
Left-Superior_frontal_gyrus,0.5632664862345843
Left-Parahippocampal_and_ambient_gyri,0.6578903486219595
Left-Inferior_frontal_gyrus,0.7310048396896028
Left-Caudate,0.8150011867701515
Left-Orbitofrontal_gyri,0.8735359983303872
Left-Gyrus_rectus,0.9255051795999574
Left-Insula,0.9324789163558103
Left-Gyrus_cinguli_anterior_part,0.9469696034792523
Right-Superior_parietal_gyrus,0.05625538807053055
Right-Inferolateral_remainder_of_parietal_lobe,0.09082257006564244
Right-Postcentral_gyrus,0.18406343006900597
Right-Lateral_remainder_of_occipital_lobe,0.21327020841683733
Right-Precentral_gyrus,0.2855885464093833
Right-Temporal_lobe,0.29031792999424955
Right-Thalamus,0.3690993780620742
Right-Middle_frontal_gyrus,0.37946712975319746
Right-Putamen,0.4583469128480065
Right-Lingual_gyrus,0.4583469128480065
Right-Amygdala,0.46438007594058617
Right-Gyrus_cinguli_posterior_part,0.5008883953672885
Right-Hippocampus,0.5038505918050014
Right-Accumbens-area,0.5563395903261696
Right-Superior_frontal_gyrus,0.5632664862345843
Right-Parahippocampal_and_ambient_gyri,0.6578903486219595
Right-Inferior_frontal_gyrus,0.7310048396896028
Right-Caudate,0.8150011867701515
Right-Orbitofrontal_gyri,0.8735359983303872
Right-Gyrus_rectus,0.9255051795999574
Right-Insula,0.9324789163558103
Right-Gyrus_cinguli_anterior_part,0.9469696034792523
