region,hemi,p
bankssts,left,0.06045564202282132
transverse temporal,left,0.06045564202282132
superior temporal,left,0.06045564202282132
temporal pole,left,0.06045564202282132
entorhinal,left,0.06045564202282132
middle temporal,left,0.06045564202282132
inferior temporal,left,0.06045564202282132
fusiform,left,0.06045564202282132
bankssts,right,0.06045564202282132
transverse temporal,right,0.06045564202282132
superior temporal,right,0.06045564202282132
temporal pole,right,0.06045564202282132
entorhinal,right,0.06045564202282132
middle temporal,right,0.06045564202282132
inferior temporal,right,0.06045564202282132
fusiform,right,0.06045564202282132
superior frontal,left,0.8244437592573389
frontal pole,left,0.8244437592573389
superior frontal,right,0.8244437592573389
frontal pole,right,0.8244437592573389
caudal middle frontal,left,0.788296443542571
rostral middle frontal,left,0.788296443542571
caudal middle frontal,right,0.788296443542571
rostral middle frontal,right,0.788296443542571
pars opercularis,left,0.7477106606022317
pars orbitalis,left,0.7477106606022317
pars triangularis,left,0.7477106606022317
pars opercularis,right,0.7477106606022317
pars orbitalis,right,0.7477106606022317
pars triangularis,right,0.7477106606022317
medial orbitofrontal,left,0.7129657154768699
medial orbitofrontal,right,0.7129657154768699
lateral orbitofrontal,left,0.6783571635415749
lateral orbitofrontal,right,0.6783571635415749
precentral,left,0.6529545964605001
paracentral,left,0.6529545964605001
precentral,right,0.6529545964605001
paracentral,right,0.6529545964605001
postcentral,left,0.6066432580679386
postcentral,right,0.6066432580679386
superior parietal,left,0.5373604934894816
precuneus,left,0.5373604934894816
superior parietal,right,0.5373604934894816
precuneus,right,0.5373604934894816
cuneus,left,0.5373604934894816
pericalcarine,left,0.5373604934894816
cuneus,right,0.5373604934894816
pericalcarine,right,0.5373604934894816
inferior parietal,left,0.48062651718121135
supramarginal,left,0.48062651718121135
inferior parietal,right,0.48062651718121135
supramarginal,right,0.48062651718121135
lateral occipital,left,0.45646295631521566
lateral occipital,right,0.45646295631521566
lingual,left,0.4420633870147745
lingual,right,0.4420633870147745
insula,left,0.3995499900778716
insula,right,0.3995499900778716
caudal anterior cingulate,left,0.38809110598594515
rostral anterior cingulate,left,0.38809110598594515
caudal anterior cingulate,right,0.38809110598594515
rostral anterior cingulate,right,0.38809110598594515
posterior cingulate,left,0.31054151037288297
isthmus cingulate,left,0.31054151037288297
posterior cingulate,right,0.31054151037288297
isthmus cingulate,right,0.31054151037288297
parahippocampal,left,0.27574936120258864
parahippocampal,right,0.27574936120258864
